,Production,Activity ($millions),GWP (tons CO2e),Employee Compensation ($millions),Taxes ($millions),Surplus ($millions),Total VA,NOX emissions (tons),SO2 emissions (tons),PM2.5 emissions (tons),VOC emissions (tons),NH3 emissions (tons),Deaths,Total PM2.5 WhiteNoLat mortalities,Total PM2.5 Latino mortalities,Total PM2.5 Black mortalities,Total PM2.5 Asian mortalities,Total PM2.5 Native mortalities,Total PM2.5 Other mortalities,Total PM2.5 TwoXPov mortalities,Total PM2.5 Poverty mortalities,PrimaryPM2_5 TotalPop mortalities,pSO4 TotalPop mortalities,SOA TotalPop mortalities,pNO3 TotalPop mortalities,pNH4 TotalPop mortalities,TotalPop direct mortalities,WhiteNoLat direct mortalities,Latino direct mortalities,Black direct mortalities,Asian direct mortalities,Native direct mortalities,Other direct mortalities,TwoXPov direct mortalities,Poverty direct mortalities,Race_EJ,Income_EJ
Poultry and egg production,21051,1000,2358327.604,425.3508301,8.071036341,553.0865954,986.5084619,4852.643554,2809.49048,2727.063558,2612.021623,32915.93405,42.7389805,28.12206324,5.327797962,6.55850384,1.649960976,0.198010131,0.882644352,27.21909195,6.468872354,27.57330142,10.29356553,1.533498294,2.844201243,0.49416688,2.603499347,1.238197153,0.710951831,0.36533108,0.208201297,0.01267924,0.068138745,1.580200383,0.427882987,-0.001160608,0.00079105
"Animal production, except cattle and poultry and eggs",16331,1000,3622721.996,311.8564389,48.98404561,633.8530798,994.6935643,4473.94487,2149.264332,1473.894409,1794.466976,31746.10257,29.5459079,18.51135961,4.539245707,4.269306602,1.428781502,0.144249502,0.652964975,18.72410954,4.502808125,16.01876887,8.975325224,1.011268275,3.335031918,0.205385051,9.286213493,4.929589641,2.25156126,1.103193524,0.708214956,0.050449227,0.243204885,5.737090011,1.480632314,0.000509818,0.000662546
Logging,25158,1000,631555.9028,475.9441009,80.65417448,439.2567654,995.8550408,7201.314389,1395.684721,1335.089919,2098.023058,1443.838289,71.64019394,50.88654373,8.528036819,7.926228128,2.677715074,0.252039287,1.369630906,47.23345272,9.809711006,13.034064,7.166990345,7.268557551,43.99002236,0.175401115,1.130049254,0.75736291,0.100365896,0.212179875,0.031142305,0.006837038,0.02216123,0.693743649,0.182565449,-0.007234625,-0.001798605
"Forest nurseries, forest products, and timber tracts",10434,1000,1167181.408,447.7189247,92.62707505,454.1547157,994.5007155,15312.68149,2760.394562,3201.663023,3314.390773,3683.222636,194.8646413,139.381763,23.08183411,20.73679989,7.279255903,0.672159949,3.712828454,128.9189412,26.40568277,30.70119622,18.37032998,19.74570302,125.6103465,0.394871988,170.274144,122.6262604,20.38385635,17.04898444,6.461767366,0.544362375,3.208912979,113.2198883,22.72021636,-0.021044714,-0.005735525
Fishing,3177,1000,1307107.33,352.2665891,54.08062794,587.8147415,994.1619585,2375.111532,2552.957168,186.9178016,665.7002172,116.1876681,13.23624965,7.455151361,2.871602328,1.611332761,0.877787453,0.066075214,0.354300535,8.300683068,2.080044014,3.265439295,6.16486421,0.480647569,3.12391863,0.201129457,6.242257265,3.317340278,1.732173254,0.394112741,0.547341573,0.039112513,0.212176905,3.896592965,0.97914313,0.001410736,0.00048161
Hunting and trapping,2425,1000,708188.6031,363.8076071,137.1906473,470.6421943,971.6404487,5635.53123,1348.506633,681.7296333,5506.136762,168.9364791,162.0980695,118.1188862,13.37935306,22.16450856,5.127304444,0.287820125,3.020197181,106.5815595,22.50517314,10.84178867,11.21451456,75.83674133,63.89605401,0.253345471,153.094686,112.5706058,12.11665009,20.56868979,4.74545774,0.254247906,2.83903465,100.8929299,21.09521065,-0.020574628,-0.003230369
Agriculture and forestry support activities,16073,1000,1453023.192,696.3085108,36.37625073,262.3461406,995.0309021,2313.347826,1686.127848,1153.720675,2082.895909,3451.826855,21.55262041,14.31962184,2.599197954,3.370410369,0.736981259,0.098506157,0.427902835,13.70128189,3.26697402,11.60064899,6.196394032,1.226468363,1.81286476,0.716160521,1.279658194,0.878857418,0.145546096,0.186051095,0.041043546,0.003976743,0.024183296,0.827615634,0.184374101,-0.000780172,0.000422239
Oil and gas extraction,89280,1000,1989473.573,291.0909875,112.179076,587.1320157,990.4020792,3840.994022,1227.371068,144.7232093,4383.274317,23.4423737,12.72669527,7.785774904,2.066973646,1.990498053,0.538238486,0.082198285,0.2630119,8.002579258,1.987256243,3.511008608,5.278391411,1.970192112,1.875173174,0.091901954,4.005278859,2.390852382,0.870765652,0.467840206,0.136739245,0.051963369,0.087118004,2.4027201,0.66553539,0.000484744,0.000423799
Coal mining,20372,1000,4238688.541,526.98703,141.4599447,322.2364089,990.6833835,10791.24486,3467.748237,1658.004733,1699.345625,114.2341072,43.56022628,25.65770884,7.210298024,7.197196911,2.404920707,0.167303346,0.922798458,27.84590539,6.685722957,27.53169728,11.34548295,2.013772875,2.315212231,0.353762092,26.00383087,15.22159438,4.403145081,4.213316996,1.506363557,0.10314175,0.556269111,16.67591324,3.967570458,0.003057815,0.000961324
Iron ore mining,1773,1000,2864419.546,547.4959984,100.4635724,339.8230883,987.782659,9839.467701,8241.758461,1316.569297,1429.987622,169.4000655,55.54968612,34.7562079,7.603097205,9.252085265,2.583900684,0.225021959,1.129373112,35.72235048,8.351834601,20.52737124,28.21000633,1.603281875,4.783869775,0.424602026,9.173660865,5.400814382,1.766364643,1.160322087,0.581775486,0.063459855,0.200924412,5.808950833,1.431097162,0.001025225,0.000729239
